group,model_A,model_B,total_pairs,acc_A,acc_B,p_A,r_A,f1_A,p_B,r_B,f1_B,b11,b10,b01,b00,statistic,p_value,exact,significant,conclusion
vanilla,v1_transformer,v2_lstm,6062,0.26146486308149125,0.2746618277796107,0.03330131284021774,0.06658130601792574,0.044397011739594455,0.04610951008645533,0.09218950064020487,0.06147278548559231,903,682,762,3715,4.32202216066482,0.037622188259894905,False,True,v2_lstm (better F1)
vanilla,v1_transformer,v2_transformer,6062,0.26146486308149125,0.24265918838667105,0.03330131284021774,0.06658130601792574,0.044397011739594455,0.01504963176432917,0.030089628681177975,0.02006403415154749,918,667,553,3924,10.466393442622952,0.0012156581605246336,False,True,v1_transformer (better F1)
vanilla,v1_transformer,v3_gru,6062,0.26146486308149125,0.30369515011547343,0.03330131284021774,0.06658130601792574,0.044397011739594455,0.07428754402817804,0.14852752880921896,0.09903948772678764,795,790,1046,3431,35.416666666666664,2.6619925540142502e-09,False,True,v3_gru (better F1)
vanilla,v1_transformer,v3_lstm,6062,0.26146486308149125,0.2858792477730122,0.03330131284021774,0.06658130601792574,0.044397011739594455,0.056996477745757286,0.11395646606914213,0.0759871931696905,805,780,928,3549,12.651639344262295,0.0003752364998274103,False,True,v3_lstm (better F1)
vanilla,v1_transformer,v3_transformer,6062,0.26146486308149125,0.2746618277796107,0.03330131284021774,0.06658130601792574,0.044397011739594455,0.04610951008645533,0.09218950064020487,0.06147278548559231,850,735,815,3662,4.026451612903226,0.044792057495887175,False,True,v3_transformer (better F1)
vanilla,v2_gru,v2_lstm,6062,0.2700428901352689,0.2746618277796107,0.041626641050272174,0.08322663252240717,0.05549626467449307,0.04610951008645533,0.09218950064020487,0.06147278548559231,1232,405,433,3992,0.869928400954654,0.35097513104192324,False,False,No significant difference
vanilla,v2_gru,v2_transformer,6062,0.2700428901352689,0.24265918838667105,0.041626641050272174,0.08322663252240717,0.05549626467449307,0.01504963176432917,0.030089628681177975,0.02006403415154749,1177,460,294,4131,36.10742705570292,1.867337797568646e-09,False,True,v2_gru (better F1)
vanilla,v2_gru,v3_gru,6062,0.2700428901352689,0.30369515011547343,0.041626641050272174,0.08322663252240717,0.05549626467449307,0.07428754402817804,0.14852752880921896,0.09903948772678764,1024,613,817,3608,28.817482517482517,7.952998078239388e-08,False,True,v3_gru (better F1)
vanilla,v2_gru,v3_lstm,6062,0.2700428901352689,0.2858792477730122,0.041626641050272174,0.08322663252240717,0.05549626467449307,0.056996477745757286,0.11395646606914213,0.0759871931696905,966,671,767,3658,6.276077885952712,0.012237865782676778,False,True,v3_lstm (better F1)
vanilla,v2_gru,v3_transformer,6062,0.2700428901352689,0.2746618277796107,0.041626641050272174,0.08322663252240717,0.05549626467449307,0.04610951008645533,0.09218950064020487,0.06147278548559231,1047,590,618,3807,0.6034768211920529,0.4372545277177574,False,False,No significant difference
